Temperatura,Personas,Electrodomesticos,Consumo_kWh
29.60318742162351,3.0,14.0,57.44602810279592
28.45273094357499,3.0,5.0,43.36596086283912
23.224124736908234,3.0,19.0,63.18330146834783
12.77803040268375,3.0,6.0,30.98444278587444
25.149354043205136,2.0,5.0,37.63452043310921
28.13945278757214,2.0,13.0,59.734568471870695
,4.0,16.0,65.97188847560756
16.407380564127685,2.0,14.0,42.603688066814684
23.249530123825433,1.0,20.0,65.42727163338215
25.188942205499654,4.0,8.0,47.856456935368804
21.252967633522264,2.0,5.0,30.957482033337882
16.697378333318987,4.0,5.0,32.060413147513565
27.445701728838145,2.0,11.0,46.36713001126208
21.00063395269644,2.0,20.0,52.71329103863778
22.97736535565134,2.0,13.0,48.202725443939464
23.29672313198643,,,52.944454874007384
30.400526073880187,2.0,16.0,54.81526463200834
21.440711537903585,4.0,9.0,48.05223554387476
18.70198937159084,4.0,6.0,38.944330925530814
22.815193786467006,4.0,17.0,61.45941546768682
27.04101452288466,2.0,7.0,37.716902235357196
23.377971599334064,2.0,,53.27203810278048
21.39795811642372,5.0,15.0,57.495786418628455
24.460820814722688,1.0,5.0,29.73514674550068
23.23563315011509,1.0,8.0,35.58612334211891
14.535057553039476,1.0,,41.50961910603315
16.669874505521594,3.0,17.0,52.86871780840859
16.10094031337075,4.0,7.0,36.742276064876464
24.152094435399846,1.0,14.0,48.60163052519742
22.641848159340523,3.0,17.0,55.71613162709388
26.09357318927439,2.0,17.0,56.57902415993659
16.788931307309333,2.0,7.0,31.490659808704052
24.89805827503092,2.0,8.0,41.84859733074618
23.814729870745982,4.0,20.0,63.066450230496876
23.2449716326271,4.0,5.0,36.49531603385759
22.77980617591718,,10.0,49.78909904533378
16.966570472570574,5.0,11.0,51.66170788985558
,5.0,8.0,49.58851588999135
31.682364313478683,3.0,8.0,49.494130795340375
19.35736570286585,4.0,15.0,51.53390650618971
24.184694726633555,4.0,20.0,66.67208261457432
24.679818746444308,5.0,15.0,
21.847766426002803,1.0,6.0,34.92921899694876
,4.0,16.0,
12.70993583883746,3.0,,31.336999175100708
,2.0,12.0,43.582948583849195
20.965311987585242,5.0,18.0,
19.992250940066935,4.0,7.0,46.961026104599256
27.398924829278993,3.0,17.0,60.86204984508523
19.439444353714197,2.0,16.0,51.45583327486659
16.46602566682543,3.0,14.0,48.018100017261986
23.931901240628186,,11.0,44.12149008836802
22.113825543555564,,5.0,28.74850489041954
23.568011614508936,3.0,13.0,46.12777907708708
30.12419083405573,2.0,17.0,60.85851609916639
15.372077240147835,3.0,9.0,36.84788743703497
17.558561758460854,2.0,12.0,44.56369645730421
16.038706628763197,4.0,11.0,43.43511546988816
21.722243487693156,5.0,16.0,
13.140756160691158,1.0,11.0,29.36313954351052
23.219404721898382,3.0,19.0,57.406893145873084
25.254721327520112,5.0,5.0,
17.519274803634605,5.0,16.0,60.15644566917318
21.647378482367486,3.0,5.0,37.120900599939645
19.114864685538386,2.0,5.0,22.52129731585498
16.852256288409016,4.0,15.0,50.8294270273892
17.240900564462905,5.0,15.0,56.254507019017126
9.97624893203043,5.0,,42.360101293114255
,1.0,11.0,33.34498223761399
30.359148962364795,4.0,11.0,56.98700248478262
23.353595530349217,1.0,8.0,36.3222250588
25.529653201616835,4.0,20.0,72.4953256600763
22.200732699347604,4.0,19.0,66.77027033509582
20.534172116206115,4.0,,46.57161554498501
24.30830459528002,1.0,11.0,44.01737679187782
20.049765440932465,1.0,6.0,35.22454765848724
19.324548477840768,3.0,15.0,49.829947047662536
20.186162147715514,5.0,11.0,54.69700364083631
30.544139243031623,3.0,9.0,53.07445112509806
21.45697113006837,5.0,16.0,60.69642444741074
29.706671364142945,2.0,15.0,57.11812614836396
16.549356513236965,4.0,8.0,42.53280246840637
27.649079787094283,3.0,8.0,42.264620472520015
23.994873075548348,2.0,7.0,37.25003088683077
23.368774289874302,2.0,7.0,38.778909769033426
24.316054311018593,5.0,14.0,61.178783209016835
21.23516964648997,3.0,20.0,62.94607651133617
19.78110319377044,1.0,11.0,41.887147968441546
15.412448804702457,1.0,9.0,28.7626853533708
,3.0,19.0,65.41433927847235
18.879251356127607,3.0,9.0,
19.04398928363693,5.0,20.0,62.5483735168171
17.48622337486425,2.0,19.0,165.0966537274112
27.38180335068033,2.0,9.0,45.77474897735862
29.35406146563814,3.0,12.0,54.94593487648546
19.136880035846666,2.0,17.0,53.774054430199925
21.611479595021134,5.0,20.0,67.38220105691948
14.122225575313768,1.0,17.0,47.27128310651696
21.870771649678396,,19.0,51.411191615748585
23.185273843702483,4.0,11.0,59.97867847986372
23.95186941096226,4.0,19.0,67.40625328259242
21.00767284177788,4.0,19.0,65.19649549865422
21.529727163612336,3.0,9.0,39.92762329126421
31.875428065916577,1.0,20.0,
12.728413133457073,4.0,6.0,31.03564104620685
24.040671665026114,2.0,17.0,57.457981598059035
22.239916762053763,4.0,7.0,43.824289722708706
17.578484848196666,5.0,13.0,53.76964045191145
23.948693204537513,5.0,8.0,52.38928473588755
19.37025708221605,4.0,19.0,63.29654454573977
16.73909669322623,3.0,18.0,61.97407508633629
22.79451541815782,4.0,13.0,
,5.0,11.0,53.245290607562886
20.67005444758029,5.0,17.0,59.05286730619034
13.512629881771169,4.0,8.0,39.21099140720961
30.73306810178374,2.0,,
24.255841781538894,4.0,17.0,59.64925621982402
,3.0,20.0,62.00676219750811
18.567910044877543,3.0,13.0,47.984910421495236
22.36099877111001,3.0,19.0,61.63835447903488
15.066297546753496,4.0,,55.88170655902964
20.206312550529766,1.0,18.0,
19.644108624373278,1.0,10.0,36.76459948514858
23.851496800798067,2.0,18.0,59.33070885203553
25.723085885540794,3.0,7.0,42.252676456293365
23.263235341730155,1.0,11.0,40.696576090989495
19.842324069886203,5.0,11.0,54.430971911824834
15.561490150877377,1.0,15.0,43.81365216670833
21.55713431155935,4.0,20.0,66.44995449135772
24.191683319750066,3.0,9.0,43.74654551558331
25.417000957439498,4.0,8.0,48.7751817134907
15.76894751541138,3.0,15.0,45.544655607157786
,2.0,7.0,38.02969977941171
16.424718860003903,3.0,9.0,33.76642061959922
22.041986658404355,2.0,5.0,34.652560472857495
20.91134017645615,5.0,6.0,42.478840121989016
22.495351663181534,5.0,11.0,50.06523938331234
16.521909976287304,4.0,,40.738933483331095
22.08693520829942,4.0,11.0,47.83018925818589
